id;username;first_name;last_name;displayed_username;issue_title;issue_content;issue_type;issue_workflow_status;issue_workflow_status_key;issue_priority_level;issue_uuid;created;modified;deleted;closed
1;partnerships implement Lempira;Nola;Hoppe;Loan toolset Philippines;Namibia Fantastic;../fake-data/blob/hipster.txt;Accounts;drive;SCSI Manager Kazakhstan;48882;0af92587-d88f-42f6-8a10-32707b0f6793;2023-01-27T07:33:03;2023-01-27T22:29:49;2023-01-27T23:08:12;2023-01-27T10:56:25
2;Integration Identity synthesize;Jordy;Conroy;Dynamic users Cotton;Frozen Extension HDD;../fake-data/blob/hipster.txt;1080p;back-end harness Stand-alone;Table;37441;f1e8e58b-252f-4ace-9732-28c42e189d6e;2023-01-27T23:27:41;2023-01-27T18:30:44;2023-01-27T06:50:07;2023-01-27T09:36:51
3;payment;Jazmyn;VonRueden;sexy;encompassing circuit;../fake-data/blob/hipster.txt;Brazil navigate intranet;Baby Beauty;calculating Massachusetts;64403;1a4061fd-04cd-475b-9eda-d86c5d2ff54d;2023-01-27T20:25:42;2023-01-27T22:12:18;2023-01-27T05:24:51;2023-01-27T12:09:54
4;connecting Producer;Alexandre;Douglas;Wooden COM Advanced;dot-com;../fake-data/blob/hipster.txt;Corner;scalable;Toys Plastic Dollar;15873;fdd88efc-95f8-464c-80c3-17fe8fa9822a;2023-01-27T08:55:40;2023-01-27T21:36:03;2023-01-28T01:55:36;2023-01-28T03:47:34
5;primary engage SDD;Myrtie;Schamberger;invoice;Danish;../fake-data/blob/hipster.txt;foreground;Tasty Glen;Coves embrace withdrawal;17442;2a172325-c504-49c5-8186-a688fb33a17a;2023-01-27T15:18:58;2023-01-27T17:26:16;2023-01-27T20:43:10;2023-01-27T09:53:37
6;Island;Imelda;Veum;conglomeration Metical partnerships;transmitting clear-thinking;../fake-data/blob/hipster.txt;synthesize partnerships Rustic;Plastic Integration;transmitting;5845;8481995a-d329-4458-96a8-c46cbe66f23e;2023-01-27T12:55:06;2023-01-27T23:02:30;2023-01-27T11:50:00;2023-01-27T20:21:52
7;incentivize;Georgette;Metz;Assurance migration quantify;Shirt;../fake-data/blob/hipster.txt;SSL leading;relationships web-enabled;Phased Reactive leverage;72683;1457fd12-a8c4-4b96-8af4-bfc82ddfd5b8;2023-01-27T18:28:45;2023-01-27T11:35:24;2023-01-28T00:52:06;2023-01-27T12:17:20
8;Car;Kip;O'Connell;calculate;deploy Berkshire;../fake-data/blob/hipster.txt;overriding quantifying;Mouse;microchip;51114;8ba552bd-d27f-4118-87ee-6c445405f599;2023-01-27T15:44:54;2023-01-27T19:36:27;2023-01-27T10:18:25;2023-01-27T11:01:27
9;Proactive parsing mobile;Manley;Marks;Gorgeous world-class;FTP Health;../fake-data/blob/hipster.txt;Ball RSS superstructure;Handcrafted;contingency;53890;f1a3bdc5-978a-4c83-914b-2b52d39dbec6;2023-01-28T00:29:57;2023-01-27T06:01:10;2023-01-27T23:27:33;2023-01-27T18:25:23
10;Generic Baby Refined;Bailee;Wolff;cross-platform;Metrics Avon;../fake-data/blob/hipster.txt;portals Home groupware;models Motorway mobile;exploit;73108;a8b8bcd3-01a1-4688-b84f-8e98f58496b8;2023-01-27T22:57:13;2023-01-27T23:17:05;2023-01-27T18:42:34;2023-01-27T23:15:33
