id;username;first_name;last_name;displayed_username;issue_title;issue_content;issue_type;issue_workflow_status;issue_workflow_status_key;issue_priority_level;issue_uuid;created;modified;deleted;closed
1;partnerships implement Lempira;Nola;Hoppe;Loan toolset Philippines;Namibia Fantastic;../fake-data/blob/hipster.txt;Accounts;drive;SCSI Manager Kazakhstan;48882;0af92587-d88f-42f6-8a10-32707b0f6793;2023-01-26T08:00:16;2023-01-26T22:57:02;2023-01-26T23:35:25;2023-01-26T11:23:38
2;Integration Identity synthesize;Jordy;Conroy;Dynamic users Cotton;Frozen Extension HDD;../fake-data/blob/hipster.txt;1080p;back-end harness Stand-alone;Table;37441;f1e8e58b-252f-4ace-9732-28c42e189d6e;2023-01-26T23:54:54;2023-01-26T18:57:57;2023-01-26T07:17:20;2023-01-26T10:04:04
3;payment;Jazmyn;VonRueden;sexy;encompassing circuit;../fake-data/blob/hipster.txt;Brazil navigate intranet;Baby Beauty;calculating Massachusetts;64403;1a4061fd-04cd-475b-9eda-d86c5d2ff54d;2023-01-26T20:52:55;2023-01-26T22:39:31;2023-01-26T05:52:04;2023-01-26T12:37:07
4;connecting Producer;Alexandre;Douglas;Wooden COM Advanced;dot-com;../fake-data/blob/hipster.txt;Corner;scalable;Toys Plastic Dollar;15873;fdd88efc-95f8-464c-80c3-17fe8fa9822a;2023-01-26T09:22:53;2023-01-26T22:03:16;2023-01-27T02:22:49;2023-01-27T04:14:47
5;primary engage SDD;Myrtie;Schamberger;invoice;Danish;../fake-data/blob/hipster.txt;foreground;Tasty Glen;Coves embrace withdrawal;17442;2a172325-c504-49c5-8186-a688fb33a17a;2023-01-26T15:46:11;2023-01-26T17:53:29;2023-01-26T21:10:23;2023-01-26T10:20:50
6;Island;Imelda;Veum;conglomeration Metical partnerships;transmitting clear-thinking;../fake-data/blob/hipster.txt;synthesize partnerships Rustic;Plastic Integration;transmitting;5845;8481995a-d329-4458-96a8-c46cbe66f23e;2023-01-26T13:22:19;2023-01-26T23:29:43;2023-01-26T12:17:13;2023-01-26T20:49:05
7;incentivize;Georgette;Metz;Assurance migration quantify;Shirt;../fake-data/blob/hipster.txt;SSL leading;relationships web-enabled;Phased Reactive leverage;72683;1457fd12-a8c4-4b96-8af4-bfc82ddfd5b8;2023-01-26T18:55:58;2023-01-26T12:02:37;2023-01-27T01:19:19;2023-01-26T12:44:33
8;Car;Kip;O'Connell;calculate;deploy Berkshire;../fake-data/blob/hipster.txt;overriding quantifying;Mouse;microchip;51114;8ba552bd-d27f-4118-87ee-6c445405f599;2023-01-26T16:12:07;2023-01-26T20:03:40;2023-01-26T10:45:38;2023-01-26T11:28:40
9;Proactive parsing mobile;Manley;Marks;Gorgeous world-class;FTP Health;../fake-data/blob/hipster.txt;Ball RSS superstructure;Handcrafted;contingency;53890;f1a3bdc5-978a-4c83-914b-2b52d39dbec6;2023-01-27T00:57:10;2023-01-26T06:28:23;2023-01-26T23:54:46;2023-01-26T18:52:36
10;Generic Baby Refined;Bailee;Wolff;cross-platform;Metrics Avon;../fake-data/blob/hipster.txt;portals Home groupware;models Motorway mobile;exploit;73108;a8b8bcd3-01a1-4688-b84f-8e98f58496b8;2023-01-26T23:24:26;2023-01-26T23:44:18;2023-01-26T19:09:47;2023-01-26T23:42:46
